DTC Kodu,Başlık,Alt Sistem,Öncelik,Neden Sayısı,Adım Sayısı
P0101,Kütle Hava Akış (MAF) Sensörü Devre Aralığı / Performansı (MAF Circuit Range/Performance),"Yakıt & Hava Ölçümü (MAF, MAP Sensörleri)",MEDIUM,4,3
P0128,Soğutma Suyu Termostatı Çalışma Sıcaklığının Altında (Coolant Thermostat Below Regulating Temp),Motor Soğutma & Termal Yönetim,LOW,4,3
P0171,Sistem Çok Fakir - Bank 1 (System Too Lean - Bank 1),Yakıt Ölçümü & Karışım Kontrolü,MEDIUM,5,3
P0172,Sistem Çok Zengin - Bank 1 (System Too Rich - Bank 1),Yakıt Ölçümü & Karışım Kontrolü,MEDIUM,5,3
P0300,Rastgele / Çoklu Silindir Tekleme Tespiti (Random/Multiple Cylinder Misfire Detected),Ateşleme Sistemi & Tekleme (Misfire) Tespiti,MEDIUM,5,3
P0420,Katalizör Sistem Verimliliği Eşik Değerin Altında - Bank 1 (Catalyst Efficiency Below Threshold),Yardımcı Emisyon Kontrolleri (Katalizör Sistemi),MEDIUM,4,3
P0442,EVAP Yakıt Buharı Emisyon Kontrol Sistemi Küçük Kaçak (EVAP Small Leak Detected),Yardımcı Emisyon Kontrolleri (EVAP Yakıt Buhar Deposu),LOW,4,3
P0500,Araç Hız Sensörü 'A' Arızası (Vehicle Speed Sensor 'A' Malfunction),"Araç Hızı, Rölanti Kontrolü & Yardımcı Girişler",MEDIUM,4,3
P0700,Şanzıman Kontrol Sistemi Arıza İkazı (Transmission Control System Malfunction),Otomatik Şanzıman & Hidrolik Kontrol Sistemi,MEDIUM,3,3
U0100,Motor Kontrol Modülü (ECM/PCM 'A') ile İletişim Kaybı (Lost Communication With ECM/PCM),CAN Veri Yolu & Ağ İletişimi (Network),CRITICAL_STOP,4,3
P0010,"""A"" Camshaft Position Actuator Circuit (Bank 1)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,4,2
P0011,"""A"" Camshaft Position - Timing Over-Advanced or System Performance (Bank 1)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,4,3
P0014,"""B"" Camshaft Position - Timing Over-Advanced or System Performance (Bank 1)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,4,3
P0016,Crankshaft Position - Camshaft Position Correlation (Bank 1 Sensor A),Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,5,3
P0030,HO2S Heater Control Circuit B1S1,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,4,3
U0001,High Speed CAN Communication Bus,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,5,4
U0002,P0002 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0003,P0003 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0004,P0004 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0005,P0005 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0006,P0006 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0007,P0007 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0008,P0008 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0009,P0009 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0010,P0010 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0011,P0011 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0012,P0012 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0013,P0013 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0014,P0014 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0015,P0015 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
P0001,Fuel Volume Regulator Control Circuit/Open,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,2,3
P0002,Fuel Volume Regulator Control Circuit Range/Performance,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,2,3
P0003,Fuel Volume Regulator Control Circuit Low,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,2,3
P0004,Fuel Volume Regulator Control Circuit High,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,2,3
P0005,Fuel Shutoff Valve A Control Circuit/Open,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,3,3
P0006,"Fuel Shutoff Valve ""A"" Control Circuit Low",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,3,3
P0007,"Fuel Shutoff Valve ""A"" Control Circuit High",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,3,3
P0008,Engine Positions System Performance Bank 1,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,3,3
P0009,Engine Positions System Performance Bank 2,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,3,3
P0012,"""A"" Camshaft Position - Timing Over-Retarded (Bank 1)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,4,3
P0013,"""B"" Camshaft Position Actuator Circuit (Bank 1)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,3,3
P0015,"""B"" Camshaft Position - Timing Over-Retarded (Bank 1)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,4,3
P0017,Crankshaft Position - Camshaft Position Correlation (Bank 1 Sensor B),Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,5,3
P0018,Crankshaft Position - Camshaft Position Correlation (Bank 2 Sensor A),Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,5,3
P0019,Crankshaft Position - Camshaft Position Correlation (Bank 2 Sensor B),Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,5,3
C0001,P0001 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0002,P0002 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0003,P0003 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0004,P0004 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0005,P0005 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0006,P0006 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0007,P0007 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0008,P0008 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0009,P0009 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0010,P0010 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0011,P0011 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0012,P0012 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0013,P0013 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0014,P0014 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0015,P0015 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
B0001,Body Code DTC,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0002,Body Code DTC,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0003,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0004,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0005,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0006,P0006 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0007,P0007 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0008,P0008 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0009,P0009 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0010,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0011,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0012,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0013,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0014,P0014 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0015,P0015 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
U0016,P0016 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0017,P0017 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0018,P0018 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0019,P0019 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0020,P0020 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0021,P0021 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0022,P0022 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0023,P0023 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0024,P0024 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0025,P0025 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0026,P0026 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0027,P0027 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0028,P0028 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0029,P0029 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0030,P0030 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0031,P0031 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0032,P0032 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0033,P0033 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0034,P0034 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
