SPN,FMI,Başlık (TR),Alt Sistem,PGN,FMI Tanımı,Öncelik,Saha Adımı
100,1,Motor Yağ Basıncı - Veri geçerli fakat normal çalışma aralığının altında (Kritik Düşük),Motor Yağlama Sistemi (J1939),65263 (EFL_P1),Data Valid But Below Normal Range - Most Severe Level,CRITICAL_STOP,"Sıvı seviyelerini, emiş filtrelerini ve mekanik aşınma belirtilerini kontrol edin."
100,3,Motor Yağ Basıncı - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Motor Yağlama Sistemi (J1939),65263 (EFL_P1),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
100,4,Motor Yağ Basıncı - Voltaj normalin altında veya şasiye (GND) kısa devre,Motor Yağlama Sistemi (J1939),65263 (EFL_P1),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
110,0,Motor Soğutma Suyu Sıcaklığı - Veri geçerli fakat normal çalışma aralığının üzerinde (Kritik Yüksek),Motor Soğutma & Termal Yönetim,65262 (ET1),Data Valid But Above Normal Range - Most Severe Level,CRITICAL_STOP,Sensör besleme hattını ve fiziksel aşırı basınç/sıcaklık durumunu mekanik test portundan doğrulayın.
110,3,Motor Soğutma Suyu Sıcaklığı - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Motor Soğutma & Termal Yönetim,65262 (ET1),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
110,4,Motor Soğutma Suyu Sıcaklığı - Voltaj normalin altında veya şasiye (GND) kısa devre,Motor Soğutma & Termal Yönetim,65262 (ET1),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
110,16,Motor Soğutma Suyu Sıcaklığı - Veri normalin üzerinde (Orta Seviye - Derate Başlayabilir),Motor Soğutma & Termal Yönetim,65262 (ET1),Data Valid But Above Normal - Moderate Severity,MEDIUM,Motor tork sınırlandırması (Derate) başlamadan önce ilgili devreyi temizleyin.
190,0,Motor Devri (Krank Hızı) - Veri geçerli fakat normal çalışma aralığının üzerinde (Kritik Yüksek),Motor Zamanlama & Krank Sensörü,61444 (EEC1),Data Valid But Above Normal Range - Most Severe Level,CRITICAL_STOP,Sensör besleme hattını ve fiziksel aşırı basınç/sıcaklık durumunu mekanik test portundan doğrulayın.
190,2,"Motor Devri (Krank Hızı) - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",Motor Zamanlama & Krank Sensörü,61444 (EEC1),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
190,8,"Motor Devri (Krank Hızı) - Anormal frekans, darbe genişliği (PWM) veya periyot",Motor Zamanlama & Krank Sensörü,61444 (EEC1),Abnormal Frequency Or Pulse Width Or Period,LOW,Osiloskop ile PWM sinyal doluluk oranını (Duty Cycle) ve gürültü seviyesini inceleyin.
