mid_hex,mid_name,mid_name_tr,subsystem,tid_hex,test_name,test_name_tr,uasid,unit,formula,scale,offset
0x01,Exhaust Gas Sensor Monitor Bank 1 - Sensor 1,Egzoz Gazı O2 Sensör İzleme Sıra 1 - Sensör 1 (Ön Lambda),Emisyon & Yakıt Karışım Geri Beslemesi,0x01,Rich-to-Lean Sensor Switch Voltage,Zenginden Fakire Geçiş Eşik Voltajı,0x01,mV,raw * 0.1,0.1,0.0
0x01,Exhaust Gas Sensor Monitor Bank 1 - Sensor 1,Egzoz Gazı O2 Sensör İzleme Sıra 1 - Sensör 1 (Ön Lambda),Emisyon & Yakıt Karışım Geri Beslemesi,0x02,Lean-to-Rich Sensor Switch Voltage,Fakirden Zengine Geçiş Eşik Voltajı,0x01,mV,raw * 0.1,0.1,0.0
0x01,Exhaust Gas Sensor Monitor Bank 1 - Sensor 1,Egzoz Gazı O2 Sensör İzleme Sıra 1 - Sensör 1 (Ön Lambda),Emisyon & Yakıt Karışım Geri Beslemesi,0x05,Rich-to-Lean Sensor Switch Time,Zenginden Fakire Geçiş Süresi,0x07,ms,raw * 1.0,1.0,0.0
0x01,Exhaust Gas Sensor Monitor Bank 1 - Sensor 1,Egzoz Gazı O2 Sensör İzleme Sıra 1 - Sensör 1 (Ön Lambda),Emisyon & Yakıt Karışım Geri Beslemesi,0x06,Lean-to-Rich Sensor Switch Time,Fakirden Zengine Geçiş Süresi,0x07,ms,raw * 1.0,1.0,0.0
0x01,Exhaust Gas Sensor Monitor Bank 1 - Sensor 1,Egzoz Gazı O2 Sensör İzleme Sıra 1 - Sensör 1 (Ön Lambda),Emisyon & Yakıt Karışım Geri Beslemesi,0x07,Sensor Transition Period,Sensör Dalgalanma Periyodu,0x07,ms,raw * 1.0,1.0,0.0
0x02,Exhaust Gas Sensor Monitor Bank 1 - Sensor 2,Egzoz Gazı O2 Sensör İzleme Sıra 1 - Sensör 2 (Katalizör Sonrası),Katalitik Konvertör Verimlilik Denetimi,0x01,Minimum Post-Cat Voltage Threshold,Minimum Kat-Sonrası Voltaj Eşiği,0x01,mV,raw * 0.1,0.1,0.0
0x02,Exhaust Gas Sensor Monitor Bank 1 - Sensor 2,Egzoz Gazı O2 Sensör İzleme Sıra 1 - Sensör 2 (Katalizör Sonrası),Katalitik Konvertör Verimlilik Denetimi,0x02,Maximum Post-Cat Voltage Threshold,Maksimum Kat-Sonrası Voltaj Eşiği,0x01,mV,raw * 0.1,0.1,0.0
0x02,Exhaust Gas Sensor Monitor Bank 1 - Sensor 2,Egzoz Gazı O2 Sensör İzleme Sıra 1 - Sensör 2 (Katalizör Sonrası),Katalitik Konvertör Verimlilik Denetimi,0x08,Oxygen Storage Capacity Switch Ratio,Oksijen Depolama Kapasitesi Geçiş Oranı,0x30,ratio,raw * 0.001,0.001,0.0
0x21,Catalyst Monitor Bank 1,Katalitik Konvertör İzleme Sıra 1,Egzoz Gazı Arıtma & Emisyon,0xA2,Catalyst Efficiency Conversion Ratio,Katalizör Dönüşüm Verim Oranı,0x30,ratio,raw * 0.001,0.001,0.0
0x21,Catalyst Monitor Bank 1,Katalitik Konvertör İzleme Sıra 1,Egzoz Gazı Arıtma & Emisyon,0xA3,Catalyst Light-Off Temperature,Katalizör Tutuşma Çalışma Sıcaklığı,0x10,°C,raw * 0.1 - 40,0.1,-40.0
