DID (Hex),DID (Int),Parametre Adı,Parametre (TR),Üretici (OEM),Alt Sistem,Birim,Ölçek,Offset,Bayt Uzunluğu
0x1153,4435,DPF Soot Mass Measured,DPF Ölçülen Kurum Kütlesi,VAG,Egzoz & DPF Kurum Yönetimi,g,0.01,0.0,2
0x1154,4436,DPF Soot Mass Calculated,DPF Hesaplanmış Kurum Kütlesi,VAG,Egzoz & DPF Rejenerasyonu,g,0.01,0.0,2
0x115E,4446,DPF Oil Ash Mass,DPF Yağ Külü Kalıntısı (Ömür Göstergesi),VAG,Egzoz & DPF Ömür Takibi,g,0.1,0.0,2
0x1160,4448,Distance Since Last Regeneration,Son Rejenerasyondan Bu Yana Kat Edilen Yol,VAG,Egzoz & DPF Rejenerasyonu,km,1.0,0.0,4
0x0501,1281,Boost Pressure Specified,Turboşarj Hedeflenen Takviye Basıncı (Setpoint),VAG,Hava Emiş & Turbo Yönetimi,mbar,1.0,0.0,2
0x0502,1282,Boost Pressure Actual,Turboşarj Gerçekleşen Takviye Basıncı,VAG,Hava Emiş & Turbo Yönetimi,mbar,1.0,0.0,2
0x2035,8245,DSG Clutch 1 Actual Hydraulic Pressure,DSG Kavrama 1 Hidrolik Basıncı,VAG,Otomatik Şanzıman (DQ250 / DQ381 / DQ500),bar,0.01,0.0,2
0x2036,8246,DSG Clutch 2 Actual Hydraulic Pressure,DSG Kavrama 2 Hidrolik Basıncı,VAG,Otomatik Şanzıman (DQ250 / DQ381 / DQ500),bar,0.01,0.0,2
0x2037,8247,DSG Transmission Fluid Temperature,DSG Şanzıman Yağ Sıcaklığı,VAG,Otomatik Şanzıman Mekatronik,°C,1.0,-40.0,1
0x2A10,10768,Steering Angle Sensor Actual Angle,Direksiyon Açı Sensörü (SAS) Gerçek Açısı,VAG,"Şasi, ESP & Direksiyon Açı Sensörü",deg,0.1,0.0,2
0xD001,53249,VANOS Intake Camshaft Position Actual,VANOS Emiş Kam Mili Gerçek Konumu,BMW,Değişken Supap Zamanlaması (VANOS),°CRK,0.1,0.0,2
0xD002,53250,VANOS Exhaust Camshaft Position Actual,VANOS Egzoz Kam Mili Gerçek Konumu,BMW,Değişken Supap Zamanlaması (VANOS),°CRK,0.1,0.0,2
0xD010,53264,Valvetronic Eccentric Shaft Angle,Valvetronic Eksantrik Mil Açısı,BMW,Valvetronic Değişken Supap Açma,deg,0.05,0.0,2
0xD105,53509,Common Rail Pressure Actual,Common Rail Yakıt Basıncı (Gerçek),BMW,Yüksek Basınç Yakıt Enjeksiyonu,bar,0.1,0.0,2
0xD210,53776,HV Battery Pack State of Charge (SOC),Yüksek Voltaj Batarya Şarj Seviyesi (SOC),BMW,Hibrit / EV Batarya Yönetim Sistemi,%,0.1,0.0,2
0xD215,53781,HV Insulation Resistance,Yüksek Voltaj İzolasyon Direnci,BMW,EV Yüksek Voltaj Güvenliği,kΩ,1.0,0.0,2
0x1E01,7681,Cylinder Head Temperature (CHT),Silindir Kapağı Metal Sıcaklığı (CHT),Ford,Motor Termal Koruma & Soğutma,°C,0.1,-40.0,2
0x1E1C,7708,Transmission Fluid Temperature (TFT),Otomatik Şanzıman Yağ Sıcaklığı (TFT),Ford,Otomatik Şanzıman (6R80 / 10R80),°C,0.1,-40.0,2
0x0200,512,Engine Oil Life Remaining,Kalan Motor Yağı Ömrü,Ford,Motor Yağlama & Bakım Takibi,%,1.0,0.0,1
0x0118,280,HV Battery Pack Terminal Voltage,Yüksek Voltaj Batarya Paketi Terminal Voltajı,Tesla,EV Yüksek Voltaj Batarya Paketi,V,0.1,0.0,2
0x0119,281,HV Battery Pack Current,Yüksek Voltaj Batarya Paketi Akımı,Tesla,EV Yüksek Voltaj Güç Akışı,A,0.1,0.0,2
0x0120,288,Maximum Cell Temperature,En Sıcak Batarya Hücresi Sıcaklığı,Tesla,EV Batarya Termal Yönetim,°C,0.1,-40.0,2
0x0121,289,Minimum Cell Temperature,En Soğuk Batarya Hücresi Sıcaklığı,Tesla,EV Batarya Termal Yönetim,°C,0.1,-40.0,2
0x0130,304,High Voltage Isolation Resistance,Yüksek Voltaj İzolasyon Direnci,Tesla,EV Yüksek Voltaj Güvenliği (LOTO / ISO 6469),kΩ,1.0,0.0,2
0x0140,320,Pyrotechnic Battery Fuse Status,Piroteknik Batarya Emniyet Sigortası Durumu,Tesla,EV Kaza & Yangın Güvenliği,state,1.0,0.0,1
0x011A,282,Rail Pressure Actual Value,Common Rail Gerçek Yakıt Basıncı,Mercedes-Benz,CDI Dizel Yakıt Enjeksiyonu,bar,0.1,0.0,2
0x0256,598,Transmission Fluid Temperature,Şanzıman Yağı (ATF) Sıcaklığı,Mercedes-Benz,722.9 / 9G-Tronic Otomatik Şanzıman (VGS),°C,1.0,-50.0,1
0x0342,834,AdBlue / DEF Concentration Quality,AdBlue Üre Konsantrasyon Kalitesi,Mercedes-Benz,BlueTEC SCR Emisyon Kontrolü,%,0.01,0.0,2
